repo_id,user_id,n_commits
1,21939,17
1,22440,7
1,22441,43
1,22446,11
1,22994,134
1,41229,6
1,108506,32
1,120064,22
4,106133,6
4,109816,77
20,18016,17
20,116909,14
47,27986,9
47,48760,417
47,105226,25
47,121459,6
47,137753,7
85,432,257
85,104557,486
92,12847,33
92,17609,8
92,104769,19
107,8591,7
107,27986,107
107,108733,128
124,36829,14
124,129771,14
131,8776,7
131,110440,473
158,8823,22
158,34582,11
158,73835,60
158,109951,10
158,113470,10
166,1286,6
166,105177,790
166,105178,12
166,105186,9
166,105188,10
166,105189,6
166,105222,7
174,582,119
174,62288,254
174,104476,7
174,108175,6
174,146487,18
188,32235,6
188,126865,64
195,48760,129
195,75018,14
195,127392,11
214,14673,110
214,30553,12
236,14226,21
236,29849,6
236,125192,259
236,125193,7
243,68955,35
243,138539,44
247,66208,6
247,116323,57
254,54573,12
254,126990,29
263,877,11
263,16287,15
263,20059,9
263,22869,13
263,42656,10
263,48549,21
263,52831,8
263,59635,27
263,85988,13
263,104722,1807
263,105743,8
263,107927,65
263,114289,15
263,120468,6
263,131295,15
263,131312,19
263,131319,7
263,131322,20
263,131339,57
263,131349,14
263,163851,6
284,39069,7
284,39071,23
284,131192,32
284,131193,17
290,26452,27
290,144114,11
294,1642,8
294,105466,53
339,82914,972
339,159979,2897
339,159980,950
339,159984,99
339,159985,403
339,159986,6
339,159990,51
339,159991,48
347,26180,20
347,120731,116
351,8174,7
351,11036,7
351,36772,392
351,66208,8
351,104664,329
351,104672,57
351,111931,6
357,26509,57
357,34442,111
357,34443,46
357,34447,3109
357,34448,962
357,44729,18
357,44747,164
357,44749,11
357,44751,7
357,44752,11
357,44753,157
357,44760,9
357,44774,267
357,44777,6
357,44779,91
357,44794,91
357,44800,18
357,44804,10
357,44829,9
357,44847,7
357,44855,6
357,44859,208
357,44868,18
357,44872,38
357,44874,16
357,44879,53
357,44904,13
357,44910,6
357,110726,6
357,110857,15
357,113665,635
357,122487,120
357,122490,40
357,128332,37
357,128333,572
357,128334,102
357,128336,30
357,128338,3515
357,135008,8
357,135009,7
357,135011,74
357,135013,43
357,135017,152
357,135018,117
357,135028,10
357,135030,12
